"uni","t","qC","pC"
"cbil","2002",28.6809994382048,0.971153814218109
"cbil","2003",23.7799299456816,1.01697343327926
"cbil","2004",33.3121426276356,1.04202852959698
"cbil","2005",40.3561771934955,1.05961589956772
"cbil","2006",45.5635814179269,1.0461008225584
"cbil","2007",44.8972086808139,1.04000730495198
"cbil","2008",37.3063050715976,1.04521712684129
"cbil","2009",25.7697255659628,1.0402066537878
"cbil","2010",27.4066775247494,1.03648922691733
"cbil","2011",28.5693392371296,1.02549109578019
"cbil","2012",29.3653329572889,1.01840500305231
"cbil","2013",32.300147931557,1.01914731380653
"cbil","2014",33.5597092626128,1.00253377455454
"cbil","2015",35.7668738052569,1.0150449322933
"cbil","2016",37.2148520702972,1.01529639103838
"cbil","2017",38.8631569542419,1.00215214234542
"cbil","2018",44.1415960020494,0.997950459198503
"cbil","2019",47.618073183879,1.00033936308297
"cbil","2020",50.977849,1
"cbil","2021",49.14248,1.03468667026979
"cbil","2022",39.4482515072481,1.11487486313352
"cbil","2023",47.752116,1.14891440622233
"cbil","2024",49.738862,1.09826724624299
"cbil","2025",58.980772,1.06605790103934
"cene","1967",28.181673010628,0.107484904185413
"cene","1968",32.0215292523035,0.112646250410698
"cene","1969",35.7244988188043,0.112830148347739
"cene","1970",38.5443089066449,0.118722523262414
"cene","1971",39.5125530838573,0.130874224096913
"cene","1972",40.9943505130911,0.132760232789912
"cene","1973",42.4647963849889,0.155791985151369
"cene","1974",47.1217669685683,0.223197890269862
"cene","1975",45.2995749246895,0.228102686669923
"cene","1976",48.2070388962554,0.249692964927319
"cene","1977",51.8221508218349,0.258631384457091
"cene","1978",55.2051171788277,0.275107890687906
"cene","1979",55.6204414136588,0.35237104263556
"cene","1980",58.1592312586054,0.445287932384902
"cene","1981",56.7150057757424,0.537220963182214
"cene","1982",56.622219499374,0.576697807523493
"cene","1983",55.2581023364285,0.584359272454545
"cene","1984",54.7079605399129,0.602231078040011
"cene","1985",61.2521449698416,0.587201394067709
"cene","1986",65.2810710679233,0.55319627395523
"cene","1987",67.0542082365922,0.580817074849285
"cene","1988",61.6690847390197,0.586868997100462
"cene","1989",61.2382062072989,0.612936594371304
"cene","1990",62.2266909745185,0.59689420109931
"cene","1991",65.1614731385659,0.589669313424678
"cene","1992",67.9097714899028,0.573259473845523
"cene","1993",69.089243956254,0.570786707980145
"cene","1994",70.1180863884764,0.573937100146428
"cene","1995",72.09854758658,0.589516073989266
"cene","1996",76.505076956826,0.620596322260825
"cene","1997",74.2296972842894,0.638242629447909
"cene","1998",74.9633702980093,0.643769222361513
"cene","1999",74.6315047528528,0.687686772091411
"cene","2000",74.4076904538077,0.757316970970538
"cene","2001",75.3156519416531,0.777531806571306
"cene","2002",74.1023646002531,0.800329317068669
"cene","2003",77.9007582447962,0.784417455130072
"cene","2004",78.4336651340015,0.803887434761641
"cene","2005",77.9037933825909,0.850960937468263
"cene","2006",74.1546062607747,0.915400641936162
"cene","2007",72.1459588480202,0.927210024120231
"cene","2008",71.0694252753929,1.00258231494078
"cene","2009",71.4212975885393,0.96314108679812
"cene","2010",75.0165934632335,1.05066569945082
"cene","2011",68.9130117713731,1.13613674430872
"cene","2012",67.8363760612163,1.16508843475052
"cene","2013",71.4458846247959,1.16267772257702
"cene","2014",68.7562200635666,1.15072143815517
"cene","2015",69.8281335071963,1.0632520229745
"cene","2016",69.9426697061902,1.02135358835989
"cene","2017",68.3785494848004,1.03924273845526
"cene","2018",72.2727737840701,1.05892957171375
"cene","2019",72.783967753168,1.05551996637675
"cene","2020",72.23834828,1
"cene","2021",74.9140476082008,1.09868948411076
"cene","2022",67.8531297687474,1.54398306001724
"cene","2023",63.4055671254326,1.34045037622713
"cene","2024",62.6105104458723,1.30521661419062
"cene","2025",58.2259574369407,1.34080354825001
"cvar","1967",142.603918158764,0.191384503533134
"cvar","1968",147.578805051711,0.196724687845987
"cvar","1969",154.118132035303,0.205018158082261
"cvar","1970",157.165073400592,0.21981776577285
"cvar","1971",156.73449238996,0.231016855669018
"cvar","1972",154.110477447259,0.250048386581424
"cvar","1973",168.084989630521,0.270558551387735
"cvar","1974",162.561980690595,0.306447260696355
"cvar","1975",164.667617703927,0.337265970130137
"cvar","1976",176.630357796028,0.367322698195102
"cvar","1977",177.08969456709,0.403627863757084
"cvar","1978",177.888351770172,0.43332387188636
"cvar","1979",177.118416161762,0.459977164504563
"cvar","1980",173.73298516343,0.487494741075305
"cvar","1981",172.206533898128,0.536780987585893
"cvar","1982",175.535312878449,0.588692610430978
"cvar","1983",177.302289895516,0.625978046088087
"cvar","1984",181.838265860344,0.676300044616611
"cvar","1985",185.759720555083,0.704822131543613
"cvar","1986",197.154099501099,0.716508331798652
"cvar","1987",190.925723920161,0.732826608692035
"cvar","1988",185.899750633781,0.765466110046375
"cvar","1989",184.002842916499,0.785104974848444
"cvar","1990",183.407597317482,0.8044020827484
"cvar","1991",185.916666703733,0.818478151825583
"cvar","1992",189.234892326311,0.823746374942461
"cvar","1993",193.017693192354,0.809503854493077
"cvar","1994",203.846680023122,0.831872991168034
"cvar","1995",209.812227402148,0.838099709428981
"cvar","1996",214.827535025236,0.846802440052633
"cvar","1997",224.005436207693,0.851204440309411
"cvar","1998",227.51837107568,0.858359526874151
"cvar","1999",226.670808633465,0.860600391663422
"cvar","2000",229.448390422044,0.869320510555401
"cvar","2001",229.256521285471,0.888448776308646
"cvar","2002",230.599653942033,0.902521721217855
"cvar","2003",234.692428917932,0.911051373053918
"cvar","2004",245.056790982199,0.910808491366315
